checkpoint_key	shape	dtype
module.residual_layer.residual_blocks.1.skip_conv.weight_v	[200, 200, 1]	torch.float32
module.residual_layer.residual_blocks.2.sn.scale	[1, 200, 1]	torch.float32
module.residual_layer.residual_blocks.2.S41.D	[4, 400]	torch.float32
module.residual_layer.residual_blocks.2.S41.multiplier	[1, 400, 1]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_norm	[8, 400, 1]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_norm_initialized	[]	torch.bool
module.residual_layer.residual_blocks.2.S41.output_linear.weight	[400, 1600]	torch.float32
module.residual_layer.residual_blocks.2.S41.output_linear.bias	[400]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_list.0.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_list.1.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_list.2.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_list.3.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_list.4.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_list.5.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_list.6.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_list.7.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_list.8.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.2.S41.kernel_list.9.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.2.conv_layer.conv.bias	[400]	torch.float32
module.residual_layer.residual_blocks.2.conv_layer.conv.weight_g	[400, 1, 1]	torch.float32
module.residual_layer.residual_blocks.2.conv_layer.conv.weight_v	[400, 200, 3]	torch.float32
module.residual_layer.residual_blocks.2.attention.in_proj_weight	[1200, 400]	torch.float32
module.residual_layer.residual_blocks.2.attention.in_proj_bias	[1200]	torch.float32
module.residual_layer.residual_blocks.2.attention.out_proj.weight	[400, 400]	torch.float32
module.residual_layer.residual_blocks.2.attention.out_proj.bias	[400]	torch.float32
module.residual_layer.residual_blocks.2.res_conv.bias	[200]	torch.float32
module.residual_layer.residual_blocks.2.res_conv.weight_g	[200, 1, 1]	torch.float32
module.residual_layer.residual_blocks.2.res_conv.weight_v	[200, 200, 1]	torch.float32
module.residual_layer.residual_blocks.2.skip_conv.bias	[200]	torch.float32
module.residual_layer.residual_blocks.2.skip_conv.weight_g	[200, 1, 1]	torch.float32
module.residual_layer.residual_blocks.2.skip_conv.weight_v	[200, 200, 1]	torch.float32
module.residual_layer.residual_blocks.3.sn.scale	[1, 200, 1]	torch.float32
module.residual_layer.residual_blocks.3.S41.D	[4, 400]	torch.float32
module.residual_layer.residual_blocks.3.S41.multiplier	[1, 400, 1]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_norm	[8, 400, 1]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_norm_initialized	[]	torch.bool
module.residual_layer.residual_blocks.3.S41.output_linear.weight	[400, 1600]	torch.float32
module.residual_layer.residual_blocks.3.S41.output_linear.bias	[400]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_list.0.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_list.1.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_list.2.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_list.3.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_list.4.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_list.5.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_list.6.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_list.7.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_list.8.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.3.S41.kernel_list.9.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.3.conv_layer.conv.bias	[400]	torch.float32
module.residual_layer.residual_blocks.3.conv_layer.conv.weight_g	[400, 1, 1]	torch.float32
module.residual_layer.residual_blocks.3.conv_layer.conv.weight_v	[400, 200, 3]	torch.float32
module.residual_layer.residual_blocks.3.attention.in_proj_weight	[1200, 400]	torch.float32
module.residual_layer.residual_blocks.3.attention.in_proj_bias	[1200]	torch.float32
module.residual_layer.residual_blocks.3.attention.out_proj.weight	[400, 400]	torch.float32
module.residual_layer.residual_blocks.3.attention.out_proj.bias	[400]	torch.float32
module.residual_layer.residual_blocks.3.res_conv.bias	[200]	torch.float32
module.residual_layer.residual_blocks.3.res_conv.weight_g	[200, 1, 1]	torch.float32
module.residual_layer.residual_blocks.3.res_conv.weight_v	[200, 200, 1]	torch.float32
module.residual_layer.residual_blocks.3.skip_conv.bias	[200]	torch.float32
module.residual_layer.residual_blocks.3.skip_conv.weight_g	[200, 1, 1]	torch.float32
module.residual_layer.residual_blocks.3.skip_conv.weight_v	[200, 200, 1]	torch.float32
module.residual_layer.residual_blocks.4.sn.scale	[1, 200, 1]	torch.float32
module.residual_layer.residual_blocks.4.S41.D	[4, 400]	torch.float32
module.residual_layer.residual_blocks.4.S41.multiplier	[1, 400, 1]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_norm	[8, 400, 1]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_norm_initialized	[]	torch.bool
module.residual_layer.residual_blocks.4.S41.output_linear.weight	[400, 1600]	torch.float32
module.residual_layer.residual_blocks.4.S41.output_linear.bias	[400]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_list.0.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_list.1.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_list.2.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_list.3.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_list.4.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_list.5.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_list.6.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_list.7.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_list.8.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.4.S41.kernel_list.9.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.4.conv_layer.conv.bias	[400]	torch.float32
module.residual_layer.residual_blocks.4.conv_layer.conv.weight_g	[400, 1, 1]	torch.float32
module.residual_layer.residual_blocks.4.conv_layer.conv.weight_v	[400, 200, 3]	torch.float32
module.residual_layer.residual_blocks.4.attention.in_proj_weight	[1200, 400]	torch.float32
module.residual_layer.residual_blocks.4.attention.in_proj_bias	[1200]	torch.float32
module.residual_layer.residual_blocks.4.attention.out_proj.weight	[400, 400]	torch.float32
module.residual_layer.residual_blocks.4.attention.out_proj.bias	[400]	torch.float32
module.residual_layer.residual_blocks.4.res_conv.bias	[200]	torch.float32
module.residual_layer.residual_blocks.4.res_conv.weight_g	[200, 1, 1]	torch.float32
module.residual_layer.residual_blocks.4.res_conv.weight_v	[200, 200, 1]	torch.float32
module.residual_layer.residual_blocks.4.skip_conv.bias	[200]	torch.float32
module.residual_layer.residual_blocks.4.skip_conv.weight_g	[200, 1, 1]	torch.float32
module.residual_layer.residual_blocks.4.skip_conv.weight_v	[200, 200, 1]	torch.float32
module.residual_layer.residual_blocks.5.sn.scale	[1, 200, 1]	torch.float32
module.residual_layer.residual_blocks.5.S41.D	[4, 400]	torch.float32
module.residual_layer.residual_blocks.5.S41.multiplier	[1, 400, 1]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_norm	[8, 400, 1]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_norm_initialized	[]	torch.bool
module.residual_layer.residual_blocks.5.S41.output_linear.weight	[400, 1600]	torch.float32
module.residual_layer.residual_blocks.5.S41.output_linear.bias	[400]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_list.0.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_list.1.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_list.2.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_list.3.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_list.4.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_list.5.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_list.6.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_list.7.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_list.8.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.5.S41.kernel_list.9.kernel	[8, 400, 2]	torch.float32
module.residual_layer.residual_blocks.5.conv_layer.conv.bias	[400]	torch.float32
module.residual_layer.residual_blocks.5.conv_layer.conv.weight_g	[400, 1, 1]	torch.float32
module.residual_layer.residual_blocks.5.conv_layer.conv.weight_v	[400, 200, 3]	torch.float32
module.residual_layer.residual_blocks.5.attention.in_proj_weight	[1200, 400]	torch.float32
module.residual_layer.residual_blocks.5.attention.in_proj_bias	[1200]	torch.float32
module.residual_layer.residual_blocks.5.attention.out_proj.weight	[400, 400]	torch.float32
module.residual_layer.residual_blocks.5.attention.out_proj.bias	[400]	torch.float32
module.residual_layer.residual_blocks.5.res_conv.bias	[200]	torch.float32
module.residual_layer.residual_blocks.5.res_conv.weight_g	[200, 1, 1]	torch.float32
module.residual_layer.residual_blocks.5.res_conv.weight_v	[200, 200, 1]	torch.float32
module.residual_layer.residual_blocks.5.skip_conv.bias	[200]	torch.float32
module.residual_layer.residual_blocks.5.skip_conv.weight_g	[200, 1, 1]	torch.float32
